,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
45868,Pakistan,New Zealand,78,8,7.43,Auckland,57,36.0,172
39771,West Indies,Bangladesh,103,8,7.82,Mirpur,41,48.0,172
48037,England,Afghanistan,72,4,5.61,Delhi,43,22.0,143
19108,South Africa,Bangladesh,65,8,9.75,Johannesburg,80,62.0,119
8278,New Zealand,Sri Lanka,60,5,5.22,Auckland,51,27.0,180
49352,England,West Indies,33,7,5.35,Kolkata,83,26.0,156
13671,Pakistan,New Zealand,136,3,7.42,Auckland,10,57.0,154
50481,Sri Lanka,Australia,111,3,6.4,Colombo,16,35.0,129
19174,Australia,South Africa,16,9,5.05,Johannesburg,101,16.0,167
19744,England,West Indies,111,4,7.09,Trinidad,26,29.0,122
47608,Sri Lanka,West Indies,21,9,6.3,Bangalore,100,21.0,123
31307,India,Afghanistan,75,7,6.25,Colombo,48,31.0,160
41969,South Africa,West Indies,65,8,11.14,Johannesburg,85,54.0,232
30270,India,England,16,8,4.57,Kolkata,99,16.0,121
21112,New Zealand,Pakistan,85,4,5.6,London,29,26.0,100
6871,Sri Lanka,South Africa,45,7,7.11,Cape Town,82,45.0,135
2012,New Zealand,England,38,10,8.77,Wellington,94,38.0,197
5577,India,Sri Lanka,133,7,8.4,Colombo,25,44.0,175
31454,New Zealand,Bangladesh,126,8,8.13,Pallekele,27,49.0,192
14874,New Zealand,Sri Lanka,123,7,9.34,Wellington,41,39.0,163
50234,Bangladesh,India,83,5,6.73,Mirpur,46,34.0,121
41474,Pakistan,South Africa,31,9,5.03,Cape Town,83,28.0,177
4481,India,England,117,5,6.44,Cardiff,11,35.0,149
30068,New Zealand,South Africa,83,9,7.78,Hamilton,56,38.0,174
15941,New Zealand,Sri Lanka,34,8,5.83,Johannesburg,85,31.0,165
46213,Sri Lanka,West Indies,62,10,10.33,Pallekele,84,52.0,216
1430,West Indies,Pakistan,48,3,4.3,Dubai,53,22.0,116
39470,West Indies,India,18,10,3.48,Mirpur,89,17.0,130
14451,West Indies,New Zealand,19,9,4.38,Auckland,94,19.0,127
5705,Bangladesh,India,109,5,6.96,Colombo,26,35.0,140
149,Australia,Sri Lanka,35,10,9.13,Adelaide,97,35.0,188
27214,Sri Lanka,India,79,9,11.56,Chandigarh,79,60.0,207
13147,Australia,India,139,7,9.07,Sydney,28,44.0,195
39115,Pakistan,India,47,7,5.42,Mirpur,68,30.0,131
27929,New Zealand,Sri Lanka,9,6,3.18,Lauderhill,103,9.0,82
28418,New Zealand,Pakistan,35,9,7.78,Hamilton,93,35.0,186
36264,Australia,Pakistan,42,10,7.88,Dubai,88,42.0,169
9114,West Indies,India,34,7,4.98,Kolkata,79,22.0,110
36103,Australia,Pakistan,86,2,4.69,Dubai,10,23.0,90
2041,New Zealand,England,71,9,7.89,Wellington,66,37.0,197
35564,Pakistan,South Africa,104,9,10.06,Centurion,58,63.0,196
34384,West Indies,Australia,5,10,30.0,Barbados,119,5.0,161
34061,West Indies,England,130,6,7.5,Nottingham,16,57.0,173
6025,India,Bangladesh,54,10,8.1,Colombo,80,48.0,177
8744,Pakistan,New Zealand,33,8,5.08,Abu Dhabi,81,25.0,149
34067,West Indies,England,142,6,7.82,Nottingham,11,57.0,173
13733,Pakistan,New Zealand,57,6,6.58,Hamilton,68,34.0,164
27634,Australia,England,113,8,7.7,Adelaide,32,27.0,158
18290,Australia,India,54,9,9.53,Mumbai,86,42.0,167
33420,Pakistan,Australia,91,8,6.82,Colombo,40,47.0,150
41463,Pakistan,South Africa,25,9,5.77,Cape Town,94,25.0,177
31890,India,England,50,9,8.82,Colombo,86,44.0,171
34068,West Indies,England,142,6,7.75,Nottingham,10,56.0,173
7389,Australia,India,73,7,7.82,Sydney,64,37.0,165
47789,Bangladesh,Australia,81,6,6.57,Bangalore,46,35.0,157
31402,New Zealand,Bangladesh,45,9,6.59,Pallekele,79,29.0,192
45335,Sri Lanka,England,19,9,5.18,Southampton,98,19.0,141
15403,West Indies,England,164,3,8.48,London,4,34.0,170
40056,Australia,West Indies,164,3,8.71,Mirpur,7,50.0,179
38838,New Zealand,Sri Lanka,3,10,6.0,Pallekele,117,3.0,143
22871,Australia,Pakistan,6,10,5.14,Dubai,113,6.0,109
38966,Afghanistan,Bangladesh,8,9,4.8,Mirpur,110,8.0,73
28955,West Indies,Pakistan,99,9,8.49,St Lucia,50,43.0,151
26286,Australia,England,85,6,6.14,Barbados,37,42.0,148
27425,England,Pakistan,2,10,3.0,Dubai,116,2.0,149
44844,India,Australia,35,10,7.78,Melbourne,93,35.0,185
2313,England,New Zealand,106,8,9.49,Hamilton,53,57.0,195
10468,India,West Indies,116,10,11.41,Mumbai,59,48.0,241
44954,Australia,India,17,9,6.38,Sydney,104,17.0,198
34253,Pakistan,Bangladesh,125,4,6.64,Mirpur,7,27.0,136
8564,Pakistan,Australia,122,6,7.04,Dubai,16,34.0,148
44280,Sri Lanka,Pakistan,99,5,7.33,Colombo,39,38.0,173
37895,South Africa,Australia,54,7,6.23,Centurion,68,34.0,129
28380,Pakistan,New Zealand,119,1,6.43,Auckland,9,29.0,144
45630,New Zealand,Sri Lanka,104,9,8.79,Mount Maunganui,49,38.0,183
31211,West Indies,Bangladesh,110,5,6.53,Mirpur,19,33.0,133
30419,West Indies,England,58,9,7.25,London,72,31.0,126
37298,England,Australia,115,3,6.22,Melbourne,9,21.0,131
34229,Pakistan,Bangladesh,105,5,7.0,Mirpur,30,37.0,136
33684,Sri Lanka,Pakistan,109,8,6.67,Colombo,22,31.0,140
17725,New Zealand,Pakistan,75,8,6.72,Cape Town,53,32.0,144
42761,New Zealand,Pakistan,51,8,6.51,Dubai,73,36.0,145
38586,West Indies,New Zealand,156,5,7.93,Wellington,2,55.0,160
47593,Sri Lanka,West Indies,13,10,15.6,Bangalore,115,13.0,123
30302,India,England,60,7,6.79,Kolkata,67,40.0,121
46624,South Africa,Sri Lanka,18,10,9.82,Cape Town,109,18.0,170
48669,England,Sri Lanka,117,7,7.16,Delhi,22,42.0,172
1497,Pakistan,West Indies,3,10,1.8,Dubai,110,3.0,161
39909,Sri Lanka,England,137,9,8.65,Chittagong,25,54.0,190
28136,Pakistan,South Africa,115,4,6.05,Abu Dhabi,6,41.0,121
5891,Sri Lanka,India,42,8,9.33,Colombo,93,42.0,153
5622,Bangladesh,India,22,9,6.95,Colombo,101,22.0,140
22737,England,South Africa,187,4,9.67,Johannesburg,4,40.0,203
11499,West Indies,India,33,5,5.21,Lauderhill,82,26.0,96
14557,South Africa,Australia,14,10,8.4,Johannesburg,110,14.0,202
30279,India,England,26,8,5.2,Kolkata,90,26.0,121
22878,Australia,Pakistan,15,10,6.92,Dubai,107,15.0,109
13168,Australia,India,172,5,9.21,Sydney,8,46.0,195
29826,Australia,India,72,6,6.75,Melbourne,56,32.0,132
38762,New Zealand,Bangladesh,78,9,9.18,Mirpur,69,40.0,205
998,India,England,8,9,3.69,Bangalore,107,8.0,203
4269,England,India,40,10,10.43,Manchester,97,40.0,160
15991,New Zealand,Sri Lanka,107,5,7.83,Johannesburg,38,34.0,165
40682,Sri Lanka,New Zealand,104,3,5.89,Chittagong,14,28.0,120
21969,Sri Lanka,Pakistan,88,4,5.5,London,24,21.0,139
31050,England,Pakistan,65,7,5.82,Abu Dhabi,53,22.0,130
1247,West Indies,India,9,10,6.0,Lauderhill,111,9.0,144
37392,Australia,England,118,7,8.74,Sydney,39,50.0,196
37363,Australia,England,68,8,7.7,Sydney,67,44.0,196
32156,New Zealand,Sri Lanka,59,9,7.22,Pallekele,71,38.0,175
30683,Sri Lanka,Pakistan,92,7,8.9,Abu Dhabi,58,31.0,142
14692,Australia,England,28,10,8.84,Sydney,101,28.0,222
11677,India,West Indies,123,8,8.48,Lauderhill,33,47.0,168
24559,Pakistan,England,119,4,7.0,Barbados,18,33.0,148
33889,West Indies,Sri Lanka,29,8,3.16,Colombo,65,19.0,138
35850,New Zealand,England,146,6,8.67,Hamilton,19,41.0,193
20432,Sri Lanka,West Indies,67,10,10.58,Nottingham,82,55.0,193
37035,Sri Lanka,Bangladesh,133,6,8.31,Pallekele,24,35.0,199
46422,West Indies,Sri Lanka,152,4,7.93,Colombo,5,32.0,163
43157,South Africa,Australia,93,8,7.75,Sydney,48,34.0,146
8954,Pakistan,New Zealand,0,10,0.0,Dubai,117,0.0,167
5957,Sri Lanka,India,123,4,8.2,Colombo,30,29.0,153
14412,Sri Lanka,England,153,3,8.42,Southampton,11,39.0,164
32930,South Africa,Australia,87,5,6.0,Colombo,33,25.0,147
44179,Pakistan,Sri Lanka,140,7,8.32,Colombo,19,53.0,176
17522,Bangladesh,Pakistan,137,1,7.47,Cape Town,10,28.0,141
29839,Australia,India,89,6,7.03,Melbourne,44,36.0,132
8282,New Zealand,Sri Lanka,69,5,5.67,Auckland,47,32.0,180
44519,South Africa,Australia,110,7,8.92,Johannesburg,46,35.0,205
17388,Sri Lanka,Australia,87,2,5.07,Cape Town,17,25.0,102
27901,New Zealand,Sri Lanka,108,4,5.84,Lauderhill,9,32.0,121
6384,South Africa,Sri Lanka,40,8,8.57,Colombo,92,40.0,99
5772,Sri Lanka,Bangladesh,66,9,11.65,Colombo,86,51.0,215
4357,England,India,148,3,8.22,Manchester,12,41.0,160
29559,Sri Lanka,Australia,62,9,8.27,Pallekele,75,44.0,158
5129,India,South Africa,44,9,10.56,Centurion,95,44.0,189
11893,Australia,England,61,7,6.0,Southampton,59,31.0,158
24748,Australia,India,63,10,8.4,Barbados,75,49.0,185
48224,Australia,Pakistan,22,10,6.95,Chandigarh,101,22.0,194
207,Australia,Sri Lanka,124,9,9.42,Adelaide,41,45.0,188
43203,South Africa,Australia,142,4,7.22,Sydney,2,28.0,146
50416,Sri Lanka,Australia,50,8,7.32,Colombo,79,40.0,129
4294,England,India,66,9,8.25,Manchester,72,38.0,160
22634,England,South Africa,16,9,6.0,Johannesburg,104,16.0,203
5631,Bangladesh,India,31,9,6.64,Colombo,92,31.0,140
14935,Sri Lanka,New Zealand,24,8,8.47,Auckland,103,24.0,116
17198,India,England,53,10,7.95,Durban,80,40.0,219
40315,South Africa,England,191,6,9.79,Chittagong,3,70.0,197
33317,Sri Lanka,England,129,5,7.74,Pallekele,20,43.0,170
38975,Afghanistan,Bangladesh,15,9,4.74,Mirpur,101,15.0,73
23150,Pakistan,Sri Lanka,54,8,8.31,Colombo,81,47.0,173
38161,Sri Lanka,Pakistan,68,7,6.09,Dubai,53,25.0,146
23826,Afghanistan,India,98,4,5.55,St Lucia,14,35.0,116
9917,Australia,South Africa,6,10,12.0,Cape Town,117,6.0,194
21465,Sri Lanka,New Zealand,98,7,7.26,Nottingham,39,30.0,159
7210,Australia,India,1,9,2.0,Melbourne,117,1.0,133
50198,Bangladesh,India,37,8,5.84,Mirpur,82,27.0,121
10154,South Africa,India,131,5,7.08,Chandigarh,9,31.0,150
24917,Sri Lanka,West Indies,130,9,8.67,Barbados,30,42.0,196
32255,West Indies,England,37,10,8.88,Pallekele,95,37.0,180
26884,Pakistan,New Zealand,113,6,7.98,Dubai,35,46.0,162
32381,South Africa,Pakistan,26,9,5.38,Colombo,91,26.0,134
24847,Sri Lanka,West Indies,22,9,5.74,Barbados,97,22.0,196
34881,West Indies,New Zealand,162,5,8.53,Lauderhill,6,49.0,178
7806,Bangladesh,West Indies,146,5,9.03,Lauderhill,23,42.0,185
43422,England,South Africa,132,7,8.9,Johannesburg,31,59.0,172
23271,New Zealand,Sri Lanka,39,8,6.32,Colombo,83,34.0,142
3839,New Zealand,West Indies,179,9,12.49,Mount Maunganui,34,71.0,244
31290,India,Afghanistan,63,8,6.52,Colombo,62,40.0,160
30986,England,Pakistan,2,10,4.0,Abu Dhabi,117,2.0,130
23108,Bangladesh,West Indies,111,1,5.64,St Kitts,2,25.0,119
17812,India,Australia,30,9,5.62,Durban,88,30.0,189
29213,South Africa,Australia,71,7,5.76,Cape Town,46,30.0,147
13191,Australia,India,15,9,6.0,Sydney,105,15.0,187
44388,Australia,South Africa,92,6,8.36,Durban,54,23.0,158
17232,India,England,110,10,9.04,Durban,47,47.0,219
40409,Pakistan,Bangladesh,128,7,8.63,Mirpur,31,53.0,191
22346,New Zealand,West Indies,161,5,9.76,Hamilton,21,30.0,192
15715,England,Australia,51,7,5.77,Cape Town,67,24.0,136
21802,Sri Lanka,West Indies,63,10,7.13,London,67,46.0,159
23589,West Indies,Australia,106,3,6.0,Sydney,14,26.0,139
1644,West Indies,Pakistan,21,7,3.94,Abu Dhabi,88,18.0,104
19067,Australia,England,145,6,7.25,Manchester,0,51.0,146
13073,Australia,India,39,10,11.7,Sydney,100,39.0,195
28275,Pakistan,New Zealand,7,10,5.25,Auckland,112,7.0,144
15811,India,Pakistan,24,7,5.14,Durban,92,24.0,142
23906,Pakistan,Bangladesh,91,10,8.4,St Lucia,55,45.0,173
4274,England,India,49,10,10.5,Manchester,92,49.0,160
14938,Sri Lanka,New Zealand,25,8,7.5,Auckland,100,25.0,116
24414,Australia,Bangladesh,73,4,5.28,Barbados,37,24.0,142
42878,Australia,South Africa,44,8,6.95,Adelaide,82,32.0,145
4842,Sri Lanka,Pakistan,117,5,6.32,Abu Dhabi,9,27.0,125
9946,Australia,South Africa,63,10,12.19,Cape Town,89,61.0,194
31781,Pakistan,New Zealand,80,9,9.41,Pallekele,69,54.0,178
35319,Australia,England,90,9,10.38,Southampton,68,57.0,249
21068,New Zealand,Pakistan,49,7,6.0,London,71,22.0,100
38687,Sri Lanka,England,138,5,8.54,London,23,52.0,184
24356,Australia,Bangladesh,28,8,6.46,Barbados,94,28.0,142
27708,Australia,England,63,9,9.45,Melbourne,80,56.0,148
30235,South Africa,New Zealand,142,3,7.96,Auckland,13,21.0,166
45793,Sri Lanka,New Zealand,120,2,6.43,Auckland,8,41.0,143
8528,Pakistan,Australia,82,9,7.24,Dubai,52,32.0,148
22443,India,New Zealand,97,4,7.86,Christchurch,46,36.0,163
4208,Pakistan,New Zealand,107,7,7.64,Mount Maunganui,36,41.0,182
30949,England,Pakistan,111,6,7.74,Dubai,34,32.0,151
7651,Bangladesh,West Indies,75,7,6.72,Lauderhill,53,39.0,172
3969,Pakistan,New Zealand,67,3,4.28,Wellington,26,25.0,106
47982,England,Afghanistan,21,9,5.48,Delhi,97,21.0,143
23339,New Zealand,Sri Lanka,118,6,6.87,Colombo,17,31.0,142
48072,England,Afghanistan,115,3,6.27,Delhi,10,39.0,143
39390,Pakistan,Australia,120,8,9.6,Mirpur,45,65.0,192
3671,Sri Lanka,India,134,4,8.12,Colombo,21,33.0,171
7812,Bangladesh,West Indies,151,5,8.88,Lauderhill,18,40.0,185
25346,Australia,Sri Lanka,20,8,7.5,Barbados,104,20.0,169
19630,Australia,New Zealand,129,5,7.37,Sydney,15,46.0,151
38001,Pakistan,South Africa,18,7,3.0,Dubai,84,18.0,99
43100,South Africa,Australia,13,10,4.88,Sydney,104,13.0,146
45865,Pakistan,New Zealand,77,8,7.7,Auckland,60,43.0,172
10594,New Zealand,England,73,7,7.06,Christchurch,58,36.0,154
37868,South Africa,Australia,23,8,5.52,Centurion,95,23.0,129
22469,India,New Zealand,122,3,7.32,Christchurch,20,31.0,163
29254,South Africa,Australia,137,5,7.27,Cape Town,7,53.0,147
7716,Bangladesh,West Indies,21,10,11.45,Lauderhill,109,21.0,185
29361,Australia,South Africa,98,5,6.26,Johannesburg,26,32.0,148
48052,England,Afghanistan,87,3,5.74,Delhi,29,26.0,143
10254,India,Bangladesh,95,6,6.26,Delhi,29,25.0,149
22054,India,New Zealand,63,7,6.41,Wellington,61,27.0,150
22901,Australia,Pakistan,50,9,8.57,Dubai,85,44.0,109
9533,England,South Africa,1,10,3.0,Durban,118,1.0,205
38562,West Indies,New Zealand,119,6,7.44,Wellington,24,47.0,160
14916,New Zealand,Sri Lanka,162,2,8.1,Wellington,0,29.0,163
14067,England,Australia,11,10,4.71,Southampton,106,11.0,180
12184,Pakistan,England,6,10,5.14,Manchester,113,6.0,196
43601,South Africa,Bangladesh,35,10,9.55,Mirpur,98,35.0,170
35408,New Zealand,South Africa,14,9,4.42,Durban,101,14.0,87
9865,Australia,South Africa,119,6,9.39,Johannesburg,44,35.0,197
34802,West Indies,New Zealand,43,9,6.79,Lauderhill,82,25.0,178
21546,South Africa,India,51,9,7.65,Nottingham,80,38.0,131
48517,New Zealand,Bangladesh,66,8,5.91,Kolkata,53,27.0,146
20602,England,South Africa,82,5,5.93,Nottingham,37,41.0,112
46756,New Zealand,India,17,8,4.86,Nagpur,99,17.0,127
10340,India,Bangladesh,63,8,6.87,Nagpur,65,33.0,175
23746,Afghanistan,India,24,8,4.97,St Lucia,91,24.0,116
7608,Bangladesh,West Indies,26,8,6.24,Lauderhill,95,26.0,172
1752,New Zealand,Australia,16,8,5.33,Sydney,102,16.0,118
42910,Australia,South Africa,71,6,6.26,Adelaide,52,26.0,145
40311,South Africa,England,178,6,9.37,Chittagong,6,58.0,197
4232,Pakistan,New Zealand,150,6,8.49,Mount Maunganui,14,49.0,182
9153,West Indies,India,56,4,4.31,Kolkata,42,12.0,110
1827,New Zealand,Australia,83,5,5.6,Sydney,31,33.0,118
6366,South Africa,Sri Lanka,14,9,7.64,Colombo,109,14.0,99
35571,Pakistan,South Africa,117,8,10.17,Centurion,51,55.0,196
16694,New Zealand,England,31,6,5.17,Durban,84,24.0,165
5994,India,Bangladesh,6,10,4.0,Colombo,111,6.0,177
49070,New Zealand,England,10,10,12.0,Delhi,115,10.0,154
22758,South Africa,England,13,10,4.88,Centurion,104,13.0,242
19890,Australia,West Indies,155,3,7.95,London,3,44.0,170
1680,West Indies,Pakistan,57,6,5.03,Abu Dhabi,52,31.0,104
24192,Australia,Pakistan,172,6,9.83,St Lucia,15,57.0,192
5811,Sri Lanka,Bangladesh,124,9,10.19,Colombo,47,50.0,215
18606,West Indies,South Africa,94,4,5.7,Johannesburg,21,38.0,132
7470,Bangladesh,West Indies,8,8,3.69,St Kitts,107,8.0,144
16431,South Africa,England,32,9,8.0,Cape Town,96,32.0,155
9690,South Africa,England,70,10,11.35,Centurion,83,58.0,223
21310,England,West Indies,70,8,8.24,London,69,45.0,162
37428,Australia,England,179,4,9.26,Sydney,4,47.0,196
47531,South Africa,Afghanistan,94,8,8.68,Mumbai,55,28.0,210
33352,Pakistan,Australia,8,9,3.69,Colombo,107,8.0,150
35083,India,England,90,6,8.06,Mumbai,53,28.0,178
21362,England,West Indies,132,6,7.76,London,18,34.0,162
24625,South Africa,New Zealand,51,9,7.29,Barbados,78,32.0,171
37650,England,West Indies,117,6,7.31,Barbados,24,52.0,153
32305,West Indies,England,115,9,9.32,Pallekele,46,55.0,180
24765,Australia,India,97,10,9.39,Barbados,58,51.0,185
42930,Australia,South Africa,102,6,6.95,Adelaide,32,37.0,145
2527,West Indies,Pakistan,34,9,5.67,Barbados,84,31.0,112
33525,India,South Africa,70,6,6.67,Colombo,57,34.0,153
22106,India,New Zealand,130,4,7.03,Wellington,9,36.0,150
28521,Pakistan,New Zealand,5,10,4.29,Christchurch,113,5.0,184
40157,Bangladesh,India,90,5,6.07,Mirpur,31,35.0,139
29746,Australia,India,155,7,8.77,Sydney,14,55.0,172
1746,New Zealand,Australia,15,8,7.5,Sydney,108,15.0,118
44453,South Africa,Australia,15,10,9.0,Johannesburg,110,15.0,205
11509,West Indies,India,37,5,4.72,Lauderhill,73,17.0,96
41967,South Africa,West Indies,57,8,10.36,Johannesburg,87,52.0,232
17044,New Zealand,South Africa,20,10,6.32,Durban,101,20.0,154
23857,Pakistan,Bangladesh,23,10,8.62,St Lucia,104,23.0,173
43944,New Zealand,South Africa,171,3,8.77,Centurion,3,39.0,178
11329,India,New Zealand,152,2,8.07,Wellington,7,47.0,166
8843,New Zealand,Pakistan,23,10,9.2,Dubai,105,23.0,154
3536,Afghanistan,West Indies,96,6,6.55,St Kitts,32,36.0,147
609,South Africa,New Zealand,173,5,9.27,Auckland,8,50.0,186
46446,South Africa,Sri Lanka,36,8,12.0,Centurion,102,36.0,127
25987,Sri Lanka,England,39,7,5.44,St Lucia,77,26.0,129
27714,Australia,England,67,8,8.74,Melbourne,74,45.0,148
32322,West Indies,England,128,7,8.44,Pallekele,29,33.0,180
41599,Sri Lanka,Bangladesh,58,9,9.67,Chittagong,84,51.0,169
32888,South Africa,Australia,49,7,6.39,Colombo,74,33.0,147
27631,Australia,England,106,8,7.48,Adelaide,35,22.0,158
19989,India,Bangladesh,116,8,7.4,Nottingham,26,32.0,181
16815,Australia,Pakistan,47,8,8.55,Johannesburg,87,39.0,165
25209,West Indies,India,2,10,3.0,Barbados,116,2.0,170
7229,Australia,India,22,9,6.29,Melbourne,99,22.0,133
16541,Pakistan,Sri Lanka,10,10,6.0,Johannesburg,110,10.0,190
30536,West Indies,England,29,8,4.05,London,77,16.0,114
25275,West Indies,India,75,10,6.52,Barbados,51,41.0,170
23004,Bangladesh,West Indies,13,7,4.33,St Kitts,102,13.0,119
43548,South Africa,Bangladesh,105,6,6.85,Mirpur,28,33.0,149
34569,South Africa,India,83,9,8.3,Johannesburg,60,36.0,220
15186,West Indies,England,55,9,11.79,London,92,55.0,209
42573,England,New Zealand,158,4,8.86,Manchester,13,51.0,192
44259,Sri Lanka,Pakistan,65,6,6.5,Colombo,60,23.0,173
7527,Bangladesh,West Indies,100,5,9.09,St Kitts,54,50.0,144
43808,New Zealand,South Africa,139,4,7.87,Durban,14,37.0,152
9077,West Indies,India,8,10,9.6,Kolkata,115,8.0,110
1479,West Indies,Pakistan,109,2,5.84,Dubai,8,45.0,116
5683,Bangladesh,India,80,6,6.23,Colombo,43,21.0,140
174,Australia,Sri Lanka,72,10,9.19,Adelaide,73,46.0,188
28657,India,England,29,10,8.7,Manchester,100,29.0,166
5496,India,Sri Lanka,10,8,3.33,Colombo,102,10.0,175
43875,New Zealand,South Africa,75,8,8.49,Centurion,67,46.0,178
9687,South Africa,England,62,10,10.94,Centurion,86,56.0,223
38067,Pakistan,South Africa,75,3,4.64,Dubai,23,27.0,99
39635,South Africa,New Zealand,67,7,6.0,Chittagong,53,27.0,171
18924,Australia,West Indies,72,8,8.82,Barbados,71,40.0,98
18335,Australia,India,110,7,8.35,Mumbai,41,40.0,167
15386,West Indies,England,146,6,8.85,London,21,53.0,170
7631,Bangladesh,West Indies,48,7,6.13,Lauderhill,73,28.0,172
6433,South Africa,Sri Lanka,83,3,6.55,Colombo,44,26.0,99
1966,England,Australia,105,6,6.12,Melbourne,17,33.0,138
39044,Afghanistan,Bangladesh,69,2,4.81,Mirpur,34,20.0,73
30076,New Zealand,South Africa,97,9,8.08,Hamilton,48,44.0,174
27676,Australia,England,3,10,2.0,Melbourne,111,3.0,148
24448,Australia,Bangladesh,134,4,6.93,Barbados,4,54.0,142
9461,Pakistan,Australia,18,8,5.4,Sydney,100,18.0,108
21135,England,India,1,10,2.0,London,117,1.0,154
48599,England,Sri Lanka,24,9,5.14,Delhi,92,24.0,172
38048,Pakistan,South Africa,60,5,4.56,Dubai,41,24.0,99
31626,West Indies,Australia,11,9,3.47,Colombo,101,11.0,192
13315,West Indies,New Zealand,15,10,10.0,Auckland,111,15.0,181
42464,New Zealand,Pakistan,134,3,6.76,Dubai,1,24.0,136
44650,South Africa,Australia,113,8,8.37,Cape Town,39,35.0,179
40482,India,Australia,46,9,7.46,Mirpur,83,37.0,160
14591,South Africa,Australia,59,9,8.43,Johannesburg,78,43.0,202
49388,England,West Indies,90,6,7.4,Kolkata,47,47.0,156
2510,West Indies,Pakistan,18,9,5.68,Barbados,101,18.0,112
21500,Sri Lanka,New Zealand,150,5,7.83,Nottingham,5,44.0,159
11662,India,West Indies,104,9,8.55,Lauderhill,47,40.0,168
35572,Pakistan,South Africa,120,8,10.29,Centurion,50,58.0,196
30303,India,England,61,7,6.78,Kolkata,66,40.0,121
38276,Sri Lanka,Pakistan,89,10,9.05,Dubai,61,40.0,212
48118,India,Bangladesh,41,10,7.24,Bangalore,86,37.0,147
47390,Pakistan,India,27,10,4.76,Kolkata,86,24.0,119
173,Australia,Sri Lanka,71,10,9.26,Adelaide,74,46.0,188
23577,West Indies,Australia,92,4,5.81,Sydney,25,29.0,139
17253,India,England,144,9,9.39,Durban,28,50.0,219
23426,New Zealand,Sri Lanka,93,9,8.21,Colombo,52,42.0,171
44665,South Africa,Australia,131,7,8.19,Cape Town,24,38.0,179
46681,South Africa,Sri Lanka,89,9,7.97,Cape Town,53,38.0,170
8389,Pakistan,Australia,66,9,7.62,Abu Dhabi,68,37.0,156
368,New Zealand,Bangladesh,190,4,9.91,Mount Maunganui,5,40.0,196
20634,England,South Africa,101,2,5.41,Nottingham,8,18.0,112
13365,West Indies,New Zealand,91,5,9.93,Auckland,65,33.0,181
46553,South Africa,Sri Lanka,67,6,6.81,Johannesburg,61,41.0,114
30264,India,England,5,8,2.0,Kolkata,105,5.0,121
34335,West Indies,Australia,72,7,6.0,St Lucia,48,30.0,151
5762,Sri Lanka,Bangladesh,52,10,12.48,Colombo,95,52.0,215
16349,Bangladesh,Australia,67,8,6.0,Cape Town,53,29.0,124
30400,West Indies,England,43,10,8.9,London,91,43.0,126
29923,South Africa,New Zealand,43,7,6.29,Wellington,79,33.0,148
38663,Sri Lanka,England,90,6,7.4,London,47,33.0,184
31140,West Indies,Bangladesh,34,9,6.38,Mirpur,88,33.0,133
14810,New Zealand,Sri Lanka,33,10,11.65,Wellington,103,33.0,163
776,England,South Africa,47,9,7.62,Cardiff,83,43.0,182
48190,India,Bangladesh,122,4,6.91,Bangalore,14,40.0,147
40984,Sri Lanka,West Indies,49,7,7.74,Mirpur,82,38.0,161
46574,South Africa,Sri Lanka,78,3,5.92,Johannesburg,41,21.0,114
16738,New Zealand,England,95,5,7.12,Durban,40,58.0,165
6558,South Africa,Pakistan,162,7,9.72,Cape Town,20,47.0,193
46934,England,West Indies,92,8,8.12,Mumbai,52,41.0,183
20033,England,Pakistan,11,9,4.71,London,106,11.0,186
19252,Australia,South Africa,117,4,7.24,Johannesburg,23,42.0,167
34462,West Indies,Australia,120,6,9.86,Barbados,47,41.0,161
28603,Pakistan,New Zealand,116,6,7.82,Christchurch,31,30.0,184
2571,West Indies,Pakistan,58,4,4.46,Barbados,42,19.0,112
7826,Bangladesh,West Indies,174,5,9.08,Lauderhill,5,40.0,185
39834,Sri Lanka,England,22,9,6.29,Chittagong,99,22.0,190
43387,England,South Africa,66,7,7.07,Johannesburg,64,43.0,172
40719,Bangladesh,Australia,13,8,3.25,Mirpur,96,13.0,154
770,England,South Africa,40,9,7.74,Cardiff,89,40.0,182
8900,New Zealand,Pakistan,76,7,6.51,Dubai,50,21.0,154
47197,Afghanistan,Sri Lanka,81,6,5.72,Kolkata,35,35.0,154
49380,England,West Indies,82,7,7.57,Kolkata,55,51.0,156
25833,West Indies,Australia,13,9,9.75,St Lucia,112,13.0,106
25709,India,Sri Lanka,11,10,5.5,St Lucia,108,11.0,164
39458,West Indies,India,6,10,1.8,Mirpur,100,6.0,130
20427,Sri Lanka,West Indies,57,10,10.36,Nottingham,87,54.0,193
5423,Sri Lanka,India,72,6,6.35,Mumbai,52,29.0,136
31873,India,England,24,9,7.58,Colombo,101,24.0,171
7760,Bangladesh,West Indies,90,8,9.82,Lauderhill,65,34.0,185
35864,New Zealand,England,177,5,9.23,Hamilton,5,52.0,193
35909,New Zealand,England,36,9,5.54,Wellington,81,29.0,140
3171,West Indies,Pakistan,59,8,5.9,Trinidad,60,24.0,125
2746,Bangladesh,Sri Lanka,13,9,8.67,Colombo,111,13.0,156
15005,Sri Lanka,New Zealand,71,3,5.07,Auckland,36,19.0,116
36494,Sri Lanka,Australia,15,10,5.62,Melbourne,104,15.0,162
7834,Pakistan,England,2,10,6.0,Cardiff,118,2.0,174
