,batting_team,bowling_team,current_score,wickets_left,crr,city,balls_left,last_five,target
44707,India,Australia,28,10,9.33,Adelaide,102,28.0,189
13457,New Zealand,West Indies,58,8,8.09,Mount Maunganui,77,43.0,239
5623,Bangladesh,India,22,9,6.6,Colombo,100,22.0,140
38686,Sri Lanka,England,137,5,8.56,London,24,51.0,184
7072,South Africa,Sri Lanka,158,7,8.7,Centurion,11,41.0,181
47385,Pakistan,India,20,10,4.14,Kolkata,91,20.0,119
39334,Pakistan,Australia,20,9,5.45,Mirpur,98,20.0,192
37247,England,Australia,72,5,6.97,Melbourne,58,30.0,131
35614,Pakistan,South Africa,175,4,9.63,Centurion,11,27.0,196
43613,South Africa,Bangladesh,45,10,8.18,Mirpur,87,36.0,170
46077,New Zealand,Pakistan,46,10,11.5,Wellington,96,46.0,197
21398,Sri Lanka,New Zealand,16,9,6.0,Nottingham,104,16.0,159
29545,Sri Lanka,Australia,45,9,8.71,Pallekele,89,45.0,158
12155,England,Pakistan,109,7,8.61,Manchester,44,61.0,132
27693,Australia,England,38,9,8.77,Melbourne,94,38.0,148
39077,Pakistan,India,10,9,4.0,Mirpur,105,10.0,131
34892,India,Sri Lanka,6,10,7.2,Pallekele,115,6.0,156
23193,Pakistan,Sri Lanka,111,7,8.22,Colombo,39,48.0,173
35070,India,England,77,7,8.56,Mumbai,66,43.0,178
40606,Sri Lanka,New Zealand,35,8,6.36,Chittagong,87,29.0,120
6305,Bangladesh,India,81,6,6.75,Colombo,48,36.0,167
32575,India,Australia,113,4,6.78,Colombo,20,35.0,141
28479,New Zealand,Pakistan,102,7,7.2,Hamilton,35,28.0,186
30161,South Africa,New Zealand,52,8,9.18,Auckland,86,46.0,166
8402,Pakistan,Australia,81,9,7.48,Abu Dhabi,55,37.0,156
10467,India,West Indies,115,10,11.5,Mumbai,60,53.0,241
6535,South Africa,Pakistan,128,9,9.85,Cape Town,42,60.0,193
7558,Bangladesh,West Indies,125,4,7.81,St Kitts,24,24.0,144
47665,Sri Lanka,West Indies,65,5,5.2,Bangalore,45,19.0,123
43247,England,South Africa,52,8,7.61,Cape Town,79,30.0,135
4193,Pakistan,New Zealand,85,8,7.39,Mount Maunganui,51,34.0,182
35867,New Zealand,England,183,5,9.31,Hamilton,2,57.0,193
45873,Pakistan,New Zealand,87,7,7.68,Auckland,52,35.0,172
3627,Sri Lanka,India,84,7,8.84,Colombo,63,37.0,171
24718,Australia,India,14,10,5.6,Barbados,105,14.0,185
32772,West Indies,Sri Lanka,41,8,4.73,Pallekele,68,28.0,130
23371,New Zealand,Sri Lanka,13,10,5.57,Colombo,106,13.0,171
30625,Sri Lanka,Pakistan,14,10,8.4,Abu Dhabi,110,14.0,142
36241,Australia,Pakistan,7,10,4.67,Dubai,111,7.0,169
2523,West Indies,Pakistan,32,9,6.0,Barbados,88,31.0,112
11621,India,West Indies,47,10,8.29,Lauderhill,86,40.0,168
29541,Sri Lanka,Australia,32,9,7.11,Pallekele,93,32.0,158
5393,Sri Lanka,India,43,7,6.45,Mumbai,80,35.0,136
26525,New Zealand,Australia,104,6,6.57,Wellington,25,50.0,119
47782,Bangladesh,Australia,74,7,6.63,Bangalore,53,37.0,157
3786,New Zealand,West Indies,63,10,10.5,Mount Maunganui,84,47.0,244
32222,New Zealand,Sri Lanka,164,5,8.71,Pallekele,7,49.0,175
16823,Australia,Pakistan,67,8,9.8,Johannesburg,79,53.0,165
1593,Pakistan,West Indies,130,7,7.57,Dubai,17,44.0,161
49563,Pakistan,India,4,9,6.0,Mirpur,116,4.0,84
42145,Pakistan,Australia,59,3,4.37,Dubai,39,18.0,97
44295,Sri Lanka,Pakistan,117,5,7.39,Colombo,25,38.0,173
39732,West Indies,Bangladesh,44,10,6.44,Mirpur,79,30.0,172
13307,West Indies,New Zealand,2,10,3.0,Auckland,116,2.0,181
43879,New Zealand,South Africa,80,8,8.42,Centurion,63,36.0,178
5937,Sri Lanka,India,112,7,9.6,Colombo,50,54.0,153
29815,Australia,India,58,6,6.57,Melbourne,67,31.0,132
4524,India,New Zealand,38,10,7.6,Delhi,90,38.0,203
50076,Sri Lanka,Pakistan,46,10,7.08,Mirpur,81,38.0,151
24548,Pakistan,England,103,5,6.79,Barbados,29,26.0,148
49901,Sri Lanka,India,109,3,6.23,Mirpur,15,36.0,139
36291,Australia,Pakistan,102,10,10.74,Dubai,63,64.0,169
19006,Australia,England,60,7,5.9,Manchester,59,19.0,146
31218,West Indies,Bangladesh,115,4,6.39,Mirpur,12,31.0,133
49023,Sri Lanka,South Africa,85,5,6.62,Delhi,43,23.0,121
15373,West Indies,England,130,6,9.07,London,34,59.0,170
33599,Sri Lanka,Pakistan,13,10,4.88,Colombo,104,13.0,140
36792,West Indies,Bangladesh,141,6,8.38,Mirpur,19,45.0,198
17379,Sri Lanka,Australia,80,3,5.11,Cape Town,26,25.0,102
38805,New Zealand,Bangladesh,152,8,9.91,Mirpur,28,63.0,205
3038,Pakistan,West Indies,60,8,7.2,Trinidad,70,39.0,138
24746,Australia,India,58,10,8.09,Barbados,77,46.0,185
38546,West Indies,New Zealand,89,6,6.68,Wellington,40,29.0,160
13397,West Indies,New Zealand,146,3,10.31,Auckland,35,53.0,181
46948,England,West Indies,112,8,8.2,Mumbai,38,42.0,183
50450,Sri Lanka,Australia,76,5,6.08,Colombo,45,24.0,129
34203,Pakistan,Bangladesh,73,8,6.74,Mirpur,55,22.0,136
47521,South Africa,Afghanistan,85,9,9.27,Mumbai,65,46.0,210
24738,Australia,India,52,10,8.91,Barbados,85,52.0,185
32073,Bangladesh,Pakistan,129,8,8.9,Pallekele,33,47.0,176
11900,Australia,England,73,7,6.44,Southampton,52,33.0,158
18802,England,New Zealand,77,6,8.88,Christchurch,68,46.0,194
42157,Pakistan,Australia,70,3,4.52,Dubai,27,23.0,97
32306,West Indies,England,116,9,9.28,Pallekele,45,56.0,180
7142,South Africa,Sri Lanka,61,9,6.42,Johannesburg,63,35.0,199
45198,England,Pakistan,11,10,5.5,Dubai,108,11.0,173
28035,Pakistan,South Africa,18,9,6.75,Abu Dhabi,104,18.0,121
41284,India,Sri Lanka,101,8,6.66,Mirpur,29,37.0,131
3896,Pakistan,New Zealand,15,8,4.09,Wellington,98,15.0,106
24810,Australia,India,172,6,9.74,Barbados,14,45.0,185
38651,Sri Lanka,England,85,7,8.36,London,59,49.0,184
33993,West Indies,England,30,8,4.86,Nottingham,83,25.0,173
21113,New Zealand,Pakistan,87,4,5.67,London,28,28.0,100
